Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3377-6178-0194-08080,2018-08-02,1533213143,Charged,CPH1609,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3352-8458-3739-52652,2018-08-02,1533213160,Charged,a5y17lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,Antipolo City,RIZAL,1870,PH
GPA.3313-2731-4920-75112,2018-08-02,1533213168,Charged,CPH1609,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3315-5183-0920-91322,2018-08-02,1533213190,Charged,HWCLT,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.18,0.61,3.79,,,,DE
GPA.3352-2519-5516-75280,2018-08-02,1533213322,Charged,HWCLT,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,EUR,7.97,1.52,9.49,,,,DE
GPA.3330-3543-8802-40035,2018-08-02,1533213369,Charged,iris50,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,THB,300.00,0.00,300.00,ไทย,,,TH
GPA.3342-6007-6482-97300,2018-08-02,1533213469,Charged,ST21i,7000 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.99.99,THB,"3,100.00",0.00,"3,100.00",,,,TH
GPA.3322-4189-2394-54852,2018-08-02,1533213481,Charged,star2lte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,NZD,13.90,2.09,15.99,Wellington,,6021,NZ
GPA.3342-1220-2538-33722,2018-08-02,1533213487,Charged,HWCUN-L6735,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,2012,PH
GPA.3331-7693-0962-75744,2018-08-02,1533213525,Charged,a7xelte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,TRY,32.19,5.80,37.99,Çanakkale,,17100,TR
GPA.3302-7870-1140-99396,2018-08-02,1533213597,Charged,itel_it1508Plus,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",,,100000,VN
GPA.3331-4053-2238-46125,2018-08-02,1533213603,Charged,trhplte,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,814,TW
GPA.3381-3091-6632-56561,2018-08-02,1533213613,Charged,j7xelte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",Huyen Chau Thanh,TIỀN GIANG,,VN
GPA.3385-3247-8914-55724,2018-08-02,1533213729,Charged,iris50,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,THB,125.00,0.00,125.00,ไทย,,,TH
GPA.3340-0601-8243-88425,2018-08-02,1533213821,Charged,athene_f,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,BRL,12.99,0.00,12.99,Acrelândia,AC,69945000,BR
GPA.3395-2416-1936-98357,2018-08-02,1533213951,Charged,1718,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,VND,"22,000.00",0.00,"22,000.00",TP. HCM,THÀNH PHỐ HỒ CHÍ MINH,,VN
GPA.3394-6229-4698-20261,2018-08-02,1533214047,Charged,HWBLA,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,THB,125.00,0.00,125.00,เมืองจันทบุรี,จันทบุรี,22000,TH
GPA.3350-4872-2797-23863,2018-08-02,1533214062,Charged,dream2qltechn,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.99,0.00,0.99,NOBLESVILLE,IN,46062,US
GPA.3310-2006-9733-98432,2018-08-02,1533214274,Charged,j7xelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,THB,34.00,0.00,34.00,พยุหคีรี,นครสวรรค์,60130,TH
GPA.3390-0349-4948-73608,2018-08-02,1533214284,Charged,HWCLT,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3390-0349-4948-73608,2018-08-02,1533214284,Refund,HWCLT,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,-0.17,-1.09,,,,DE
GPA.3326-1704-3960-80057,2018-08-02,1533214285,Charged,star2lte,2100 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.29.99,EUR,24.36,4.63,28.99,,,,DE
GPA.3354-6548-4425-29384,2018-08-02,1533214442,Charged,HWCLT,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3348-2344-0584-83620,2018-08-02,1533214799,Refund,aljeter,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,BRL,31.99,0.00,-31.99,Guarapari,ES,29202307,BR
GPA.3340-5314-9094-16996,2018-08-02,1533214845,Charged,herolte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,PLN,13.81,3.18,16.99,,,,PL
GPA.3336-2304-9582-85554,2018-08-02,1533214853,Refund,aljeter,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,BRL,12.99,0.00,-12.99,Guarapari,ES,29202307,BR
GPA.3371-0463-1853-44424,2018-08-02,1533214879,Charged,ASUS_X00DD,Luxury Gift Pack (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya8,VND,"198,000.00",0.00,"198,000.00",Mê Linh,HÀ NỘI,,VN
GPA.3310-2254-4721-60379,2018-08-02,1533214922,Charged,heroqlteue,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Hà Nội,,,VN
GPA.3336-9797-9857-21650,2018-08-02,1533215000,Refund,aljeter,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,BRL,12.99,0.00,-12.99,Guarapari,ES,29202307,BR
GPA.3354-1734-4826-15665,2018-08-02,1533215013,Charged,mido,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Hồ Chí Minh,,,VN
GPA.3383-3349-8322-85155,2018-08-02,1533215128,Charged,heroltebmc,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,CAD,5.49,0.00,5.49,Bentley,AB,T0c 0j0,CA
GPA.3319-4216-3734-02218,2018-08-02,1533215195,Charged,HWBLA,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,GBP,0.74,0.15,0.89,,,,GB
GPA.3323-2904-5753-68998,2018-08-02,1533215226,Charged,HWVNS-H,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,CZK,24.79,5.20,29.99,,,,CZ
GPA.3389-9438-0448-92519,2018-08-02,1533215372,Charged,G3416,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,VND,"180,000.00",0.00,"180,000.00",Sơn La,SƠN LA,360000,VN
GPA.3354-4045-3442-29136,2018-08-02,1533215484,Charged,vince,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.sanguo.tok1,VND,"23,000.00",0.00,"23,000.00",,,670000,VN
GPA.3393-6522-1552-38207,2018-08-02,1533215600,Charged,greatqltechn,超级宝盒 (三国志猛将召唤: 暗金武将强势来袭！),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya9,HKD,28.00,0.00,28.00,天水圍,新界,,HK
GPA.3340-2607-0472-83289,2018-08-02,1533215687,Charged,j8y18lte,200 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew2,VND,"45,000.00",0.00,"45,000.00",,,,VN
GPA.3393-3369-0576-08423,2018-08-02,1533215714,Charged,1601,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Hà nội,HÀ NỘI,100000,VN
GPA.3306-2456-6271-38785,2018-08-02,1533215856,Charged,zeroflte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.18,0.61,3.79,,,,DE
GPA.3364-7829-1410-98380,2018-08-02,1533215968,Charged,F3116,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Thanh Pho Ho Chi Minh,THÀNH PHỐ HỒ CHÍ MINH,,VN
GPA.3354-1628-0274-68218,2018-08-02,1533216049,Charged,tissot_sprout,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,640000,VN
GPA.3360-3664-2058-71232,2018-08-02,1533216061,Charged,A37f,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,1700,PH
GPA.3309-3273-7397-30370,2018-08-02,1533216284,Charged,star2lte,2100 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.29.99,EUR,24.36,4.63,28.99,,,,DE
GPA.3331-8242-5897-88053,2018-08-02,1533216299,Charged,m209n,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.99,0.00,0.99,ASHLEY,PA,18702,US
GPA.3399-6839-9586-95638,2018-08-02,1533216472,Charged,greatlte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,CHF,1.00,0.00,1.00,Bellinzona,,6500,CH
GPA.3305-9867-1798-62516,2018-08-02,1533216476,Charged,ugglite,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",Palembang,SUMATERA SELATAN,30961,ID
GPA.3381-2226-3158-92093,2018-08-02,1533216519,Charged,F3211,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.98,0.00,0.98,San Cristobal,,91000,DO
GPA.3388-1641-0396-22919,2018-08-02,1533216554,Charged,ghost,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.24,0.65,3.89,,,,FR
GPA.3378-4665-3714-25474,2018-08-02,1533216577,Charged,dreamqltechn,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,HKD,8.00,0.00,8.00,慈雲山,九龍,,HK
GPA.3397-4337-0367-07670,2018-08-02,1533216586,Charged,ghost,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,EUR,7.91,1.58,9.49,,,,FR
GPA.3326-5080-5426-96289,2018-08-02,1533216811,Charged,Y51,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",Rạch Giá,KIÊN GIANG,920000,VN
GPA.3368-6814-2580-95787,2018-08-02,1533216908,Charged,greatlte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,VND,"180,000.00",0.00,"180,000.00",Vĩnh Yên,VĨNH PHÚC,280000,VN
GPA.3336-4526-8020-07129,2018-08-02,1533216929,Charged,hwt1701,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3314-3094-5506-26127,2018-08-02,1533216960,Charged,heroqltetmo,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,USD,9.99,0.00,9.99,UNINCORPORATED,TX,76528,US
GPA.3334-1881-8461-18738,2018-08-02,1533217073,Charged,Y51,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Rạch Giá,KIÊN GIANG,920000,VN
GPA.3388-6925-9205-82229,2018-08-02,1533217124,Charged,A37f,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,700000,VN
GPA.3354-0506-9834-93937,2018-08-02,1533217259,Charged,j7y17lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3391-2129-0848-42575,2018-08-02,1533217320,Charged,j7y17lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3305-4115-6517-97231,2018-08-02,1533217474,Charged,A37f,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",,,,VN
GPA.3318-4725-1938-74466,2018-08-02,1533217648,Charged,noblelte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,VND,"223,000.00",0.00,"223,000.00",Bạc Liêu,BẮC LIEU,260000,VN
GPA.3373-7869-6446-95732,2018-08-02,1533217777,Charged,G8142,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",,,113113,VN
GPA.3347-0476-8526-70423,2018-08-02,1533217799,Charged,joan,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,USD,19.99,0.00,19.99,Wilmer,AL,36587,US
GPA.3315-3873-4335-51482,2018-08-02,1533217843,Charged,grandpplte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Hà Nội,,,VN
GPA.3303-6544-9707-97036,2018-08-02,1533218206,Charged,hero2lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Thái Nguyên,THÁI NGUYÊN,253420,VN
GPA.3309-7738-3390-88485,2018-08-02,1533218209,Charged,kona3g,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.sanguo.tok1,TWD,31.00,2.00,33.00,北區,台中市,40448,TW
GPA.3338-9162-4789-06394,2018-08-02,1533218278,Charged,on5xelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3319-9008-3644-03447,2018-08-02,1533218326,Charged,FlareX2,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,,PH
GPA.3340-8508-5825-63835,2018-08-02,1533218372,Charged,m2a3g,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,TRY,32.19,5.80,37.99,Merkez,AYDIN,09000,TR
GPA.3323-6620-6395-57322,2018-08-02,1533218384,Charged,FlareX2,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,,PH
GPA.3398-7583-1475-38141,2018-08-02,1533218521,Charged,hero2lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,MYR,4.49,0.00,4.49,kota kinabalu,SABAH,88200,MY
GPA.3383-3887-9586-18879,2018-08-02,1533218671,Charged,tissot_sprout,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,MYR,76.99,0.00,76.99,Taman Sri Keramat,KUALA LUMPUR,54200,MY
GPA.3378-7490-7447-56450,2018-08-02,1533218728,Charged,nikel,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PLN,3.81,0.88,4.69,,,,PL
GPA.3338-8810-7546-37974,2018-08-02,1533218803,Charged,j7velte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,PHP,205.00,0.00,205.00,Bulacan,ABRA,,PH
GPA.3391-6864-5179-79307,2018-08-02,1533218874,Charged,k3g,Luxury Gift Pack (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya8,IDR,"119,000.00",0.00,"119,000.00",JAKARTA TIMUR,DKI JAKARTA,99483,ID
GPA.3385-6095-1129-41656,2018-08-02,1533218921,Charged,gt58lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Thị Trấn Chợ Gạo,TIỀN GIANG,,VN
GPA.3377-6148-8429-52116,2018-08-02,1533219176,Charged,ASUS_Z01KDA,6200 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew8,TWD,"1,800.00",90.00,"1,890.00",板橋區,新北市,220,TW
GPA.3350-6278-3455-03066,2018-08-02,1533219266,Charged,hero2lte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,EUR,15.83,3.16,18.99,,,,FR
GPA.3307-3158-3533-30219,2018-08-02,1533219280,Charged,lucye,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Long An,LONG AN,,VN
GPA.3368-8791-8280-63756,2018-08-02,1533219332,Charged,hero2lte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,EUR,15.83,3.16,18.99,,,,FR
GPA.3356-3326-1399-32430,2018-08-02,1533219535,Charged,kinzie_uds,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,BRL,3.19,0.00,3.19,São Bento do Sul,SC,89280130,BR
GPA.3342-0293-4427-94577,2018-08-02,1533219537,Charged,santoni,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",Cilacap,JAWA TENGAH,53223,ID
GPA.3353-5294-1091-73648,2018-08-02,1533219600,Charged,HWANE,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,123456,VN
GPA.3330-7538-0134-63581,2018-08-02,1533219676,Charged,mido,超级宝盒 (三国志猛将召唤: 暗金武将强势来袭！),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya9,TWD,105.00,5.00,110.00,,,511,TW
GPA.3387-9246-7675-34414,2018-08-02,1533219680,Charged,trelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Lang Son,LẠNG SƠN,123456,VN
GPA.3323-8717-0593-99275,2018-08-02,1533219721,Charged,lucye,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,VND,"180,000.00",0.00,"180,000.00",,,550000,VN
GPA.3319-0010-9308-72171,2018-08-02,1533219744,Charged,c9lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3330-8933-6039-75130,2018-08-02,1533219859,Charged,dreamlte,830 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew5,THB,275.00,0.00,275.00,ธนบุรี,กรุงเทพมหานคร,10600,TH
GPA.3309-1263-6400-72247,2018-08-02,1533219932,Charged,htc_ocedugl,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,VND,"22,000.00",0.00,"22,000.00",Hà Nội,,,VN
GPA.3370-6613-6619-00966,2018-08-02,1533220077,Charged,CPH1609,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,,VN
GPA.3300-7608-2366-95400,2018-08-02,1533220095,Charged,HWVNS-H,2100 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.29.99,EUR,23.96,5.03,28.99,,,,NL
GPA.3373-4780-6065-55202,2018-08-02,1533220104,Charged,ASUS_Z01KDA,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,板橋區,新北市,220,TW
GPA.3383-2121-5087-20197,2018-08-02,1533220106,Charged,vince,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,BRL,3.19,0.00,3.19,Santa Bárbara d'Oeste,SP,13453215,BR
GPA.3344-5331-5519-37998,2018-08-02,1533220118,Charged,greatlte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PLN,3.81,0.88,4.69,,,,PL
GPA.3391-9502-4225-54119,2018-08-02,1533220203,Charged,OnePlus5,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,GBP,0.74,0.15,0.89,,,,GB
GPA.3300-1492-4850-61338,2018-08-02,1533220517,Charged,dreamlte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,GBP,0.74,0.15,0.89,,,,GB
GPA.3397-3985-5831-27086,2018-08-02,1533220544,Charged,a7xelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,TRY,2.96,0.53,3.49,Kocaelil,KOCAELI,34444,TR
GPA.3326-8651-4734-74064,2018-08-02,1533220633,Charged,jackpot2lte,7000 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.99.99,THB,"3,100.00",0.00,"3,100.00",phang nga,,,TH
GPA.3321-7789-3201-85053,2018-08-02,1533220689,Charged,jackpot2lte,3500 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.49.99,THB,"1,550.00",0.00,"1,550.00",phang nga,,,TH
GPA.3312-9277-1214-22835,2018-08-02,1533220719,Charged,CPH1819,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,VND,"22,000.00",0.00,"22,000.00",hồ chí minh,,,VN
GPA.3334-8870-9510-07031,2018-08-02,1533220799,Charged,OnePlus5T,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,CAD,26.99,0.00,26.99,Vancouver,BC,V5P2P6,CA
GPA.3375-1459-5438-22401,2018-08-02,1533220918,Charged,j7velte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,BRL,3.19,0.00,3.19,Fortaleza,CE,60050-101,BR
GPA.3365-8841-2677-52120,2018-08-02,1533220922,Charged,dreamlte,3500 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.49.99,EUR,40.33,7.66,47.99,,,,DE
GPA.3312-5002-7378-91442,2018-08-02,1533221001,Charged,greatlte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,MYR,14.99,0.00,14.99,ayer itam,PULAU PINANG,11500,MY
GPA.3348-8082-2113-40335,2018-08-02,1533221035,Charged,e53g,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Biên Hòa,ĐỒNG NAI,,VN
GPA.3347-2766-3472-92963,2018-08-02,1533221037,Charged,ASUS_X008,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,Pasay,,1300,PH
GPA.3341-1284-3148-14662,2018-08-02,1533221224,Charged,dream2lte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,USD,7.99,0.00,7.99,TAMUNING,GU,96931,US
GPA.3316-9221-0810-51268,2018-08-02,1533221258,Charged,hero2lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.18,0.61,3.79,,,,DE
GPA.3330-9448-1461-16020,2018-08-02,1533221342,Charged,a7xelte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,TRY,12.70,2.29,14.99,Kocaelil,KOCAELI,34444,TR
GPA.3306-2303-3379-29816,2018-08-02,1533221355,Charged,a7y17lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,TRY,2.96,0.53,3.49,Türkiye,BALIKESIR,10100,TR
GPA.3316-3828-8849-65368,2018-08-02,1533221470,Charged,e53g,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Biên Hòa,ĐỒNG NAI,,VN
GPA.3302-4456-2055-69056,2018-08-02,1533221573,Charged,HWWAS-H,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.89,0.20,1.09,,,,IT
GPA.3377-0054-5539-34541,2018-08-02,1533221641,Charged,1609,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",Bengkayang,KALIMANTAN BARAT,,ID
GPA.3300-5830-9030-04864,2018-08-02,1533221661,Charged,kate,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,RUB,"1,100.85",198.15,"1,299.00",Невинномысск,,357100,RU
GPA.3310-8764-9995-59086,2018-08-02,1533221791,Charged,SC-02H,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",,,100001,VN
GPA.3335-5832-0450-84806,2018-08-02,1533221946,Charged,starqltesq,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,USD,3.99,0.00,3.99,Celina,TX,75009,US
GPA.3377-5124-6840-65154,2018-08-02,1533222016,Charged,jadelte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,VND,"450,000.00",0.00,"450,000.00",Hochiminh,THÀNH PHỐ HỒ CHÍ MINH,700000,VN
GPA.3303-5400-3260-94346,2018-08-02,1533222056,Charged,klte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3315-6036-3296-45098,2018-08-02,1533222438,Charged,a7xelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,TRY,2.96,0.53,3.49,Kocaelil,KOCAELI,34444,TR
GPA.3361-2623-6456-20798,2018-08-02,1533222492,Charged,a9xproltesea,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,VND,"223,000.00",0.00,"223,000.00",Bắc Ninh,BẮC NINH,,VN
